	author	comment
39	Alexandr Věchtík	Best song from the Abba. I love this song forever.
40	Gustavo Espósito	Não tem coisa melhor que anos 70 80 90. Quem nasceu de 2000 pra cá não sabe o que é música muito menos cantor. Abba por exemplo é uma das melhores coisas que eu já ouvi na minha vida. Uma música melhor que a outra . Essa música por exemplo da pra perceber emoção na hora de cantar a música é lindíssima a voz dela é lindíssima
41	Gerluce Borges	Inesquecível canção. 15: 01: 2023 momentos lindos eu vivi
42	Виктор Ткаченко	Часто перед сном слушаю эту композицию, чтобы лечь спать с хорошим настроением с надеждой на лучшее, несмотря на тот ужас который происходит вокруг. Спасибо, АББА!
43	alex mirabueno	One of ABBA's best... One of my faves...until today. ABBA, a musical legend, an icon 👍! ABBA The Great 👍! Thank you for your music 👏👏👏👍❤️!
44	Felix Felix	Uma das melhores músicas já feitas.
45	David Harrison	Possibly the most accurate and beautiful expression of love lost utter annihilation.
46	Jaime Eduardo Vivar Arevalo	Esta canción toca fibras tan internas que los recuerdos quedan la plena luego de una ruptura tan dolorosa cuesta recuperarse y mucho allí los sueños las aspiraciones todo lo que un día querías brindar todo esa vida que querias vivir con quien fue tu amor se va a la basura mas duele cuando quien te lo hace es quien menos pensarias inculso me entere por otros medios de muchas cosas ni siquiera ella me dijo no pedí explicaciones solo me fui tratando de entender por qué pasó ella de todos modos no te daría razones como dice ese verso el ganador se lo lleva todo no solo el hombre que hoy es su esposo se ganó el derecho de tenerla a su lado sino de convertirla en mamá ya con eso que puedo reclamar a la vez tener hijos eso no le reprocho sino el que no me haya sido sincera conmigo si lo hubiera sido de seguro hubiera cambiado de parecer pero no lo hizo eso jamás se lo perdone pero me tomo como un tonto ya con eso el tipo podría decir que fue el ganador que se la llevó y que el perdedor solo debe retirarse sin responder ni hablar y te das cuenta que ya no es tu lugar que solo estás de sobra pensé en Vergarme darle ese golpe como ella me dio pero no lo hice al contrario le di un regalo de bodas s la distancia y eso me gustó fue mi respuesta la muestra que a pesar de lo que lo que me había hecho le brinde el regalo de matrimonio a distancia de entregarle a quien se la ganó en matrimonio y dejarla ser libre y dejarla ser feliz podrá sonar algo tonto pero vi que no valía la pena caer tan bajo con una venganza cuesta superar que alguien que amaste que hoy la miras y te das cuenta que ya no es para ti tener otro amor quizá cuesta pero es nesesario esta canción toca una fibra tan profunda más claro el que da en el clavo es el ganador y quien pierde solo debe retirarse no reclamar ni hablar sólo recoger los pedazos de tu corazón y reconstituir todo tu mismo esa parte que quedó mal por que el estar roto no te da derecho a dañarle la vida a nadie ni siquiera a quien te hizo lo peor esta canción es clara en el amor el ganador se lo lleva todo que otro significado hay para eso
47	hiflite2	This is Agnetha's song, and no one else's! Such emotion and heartbreak in her voice. I don't know why I'm listening to this in 2019, but I guess that's why it's a classic. This song will live forever, because a break up, is a break up, no matter where or when. Thank you ABBA, for bringing this to life.
48	Елена Яковлева	Вот оно, моё лекарство от того безумия, что творится сейчас. Спасибо.
49	Maurice Toboul	Que de bon souvenirs sur cette chanson. Toute ma jeunesse sur ce groupe. merci vous resterez immortelle.
50	BarryChello	as a true metal head i must say that i love this song
51	Kathy Shade	Cudowna na zawsze !!!❤️
52	ANTONIO LAERCIO MEDEIROS	Muitas saudades deste tempo.Musicas lindas,inesqueciveis.
53	Lyubov Kharchenko	Песни и музыка об не имеют равных в мире, их слушать можно вечно, они поднимают настроение якобы вырастают какие-то невидимые крылья несущие тебя ввысь вот что люди чувствуют когда слушают их музыку Бог сохрани их пожалуйста
54	Great Basin Power	Incredible music.
55	Anthony Cirino	She sounds so great! Truly one of a kind
56	Босфор	С песнями АББА улетаешь в молодость.Впервые услышал эту группу в ГДР когда служил в 1978году. Эта любовь навсегда,даже не понимая слов пронизывает насквозь.АББА это музыка вечности.Низкий поклон ВАМ за живую музыку
57	Jack Jarvis	What a great vocalist. She could hold her own with any others.
58	Kiwinz94	Born in 1963. I came back from college when I heard this song! Thanks to my grandmother born in 1916! She bought this vinile especially for me, but she loved the song too! She was from Normandy, France. Thanks my beloved grandmother, every time I hear that song, I think about the great love we had for each other! I miss you very much!
59	Leonor Dardon	Este grupo ABBA buenísimo siempre desde muchos años atrás muy especial 💓 su música excelente
60	Fonsinho Souza	Essa musica me leva em um passado tão lindo.
61	Ale O	“Una canción que habla del después de una separación, de lo que cada uno vive en la soledad del hogar que antes era compartido, de un juego en el que el ganador se lo lleva todo y en el que, en ocasiones, todos pierden. La perfección vocal que muestra Agnetha en este tema ha hecho que se convierta en su favorito, pese a que habla de su propio dolor y del de quien un día fue su marido. Una paradoja que no hace otra cosa que mostrarnos que por encima de todo, incluso del amor y del desamor, los miembros de ABBA fueron, son y serán siempre músicos y amantes de la música” Linda y nostálgica música del año 1980. Y sigue sonando en 2022 🎵🔊
62	F33RCETV	this is their best song. The lyrics by themselves are pure poetry on love and loss
63	Mauricio Cruz	grandes recuerdos 1980 nuestra juventud gracias por tu música grupo ABBA
64	Abel Cecilia	Música eterna....
65	Serge Vitiello	Merveilleuse chanson ❤️♥️♥️♥️♥️
66	Наталья	Не нужны никакие спецэффекты, ни чего того, что отвлекало бы от музыки и от сильного чистого голоса исполнителя ... Браво Агнета, браво АББА😘😘😘!!!
67	Joarce Fedorowicz	This is the best song of all times. I just love it.
68	Eduardo Aguiar	❤
69	ZeroCool	My earliest memory of Abba was when I was little in the 1980s, my father had a Abba concert and music videos compilation on laserdisc. Even then I knew how powerful they become.
70	Antonio Moreira	simplesmente divino
71	On The Tools Canada	To this day, I've never heard someone sing it better. She has such a raw power and emotion through the whole song. And yes... I know the ENTIRE backstory. My parents were hardcore Abba fans and I can't tell you how many road trips took place with the ABBA gold album in the CD player in the Safari. This will always be beautiful music. FULL STOP
72	Ирина Донская	Моя любимая композиция!
73	Walcir Previtale Bruno Dantas de Oliveira	Lembro da minha infância em São Paulo. Marcou uma época.
74	Marcus	The greatest pop band of them all. Always and forever.
75	Enrique Garrido suarez	amo essa musica
76	Nadia	Simply amazing!❤
77	RAMON VEGAS	Linda musica ,nos leva ao passado .
78	Am Columbo	i really love abba, and i am always listening to this masterpeice group
79	Debashish banerjee	I was 10 when I heard ABBA for the first time. Agnetha is a God blessed soul. ❤️❤️
80	Joseph Kearney	The musical arrangement of this song is phenomenal and the singing is off the charts. I was 15 when this song came out. Where was I? You have to appreciate the genius of this song no matter the genre you prefer. It's one of the greatest..
81	giuseppe baratti	Sublime ogni loro brano è magia.. Questo è e resterà un mito... Abba sempre per sempre 😍🙏❤️❤️❤️❤️❤️❤️💯💯
82	Абидат Абакарова	Божечки какой голос🥰 эмоции зашкаливают🥰🥰🥰❤❤❤❤
83	Kannan Adiseshachalam	Eternal masterpiece
84	프랑스인형	They. are. four. geniuses ♡♡♡♡
85	Kleber Medeiros	Masterpiece ! Thank you Abba for the music !!! 👏🏻👏🏻😭😭
86	mona35ful	Piosenka kościelna Panie proszę przyjdź,jest z tą melodią,piękne ❤️🥰
87	Deal,Deal.	Brilliant!!!goose bumps!!!
88	Agunk Art	Lagu ini sangad dalam, walaupun gk tau artinya wkwkw
89	D S	Goes right through the heart . . .
90	Raquel garcia	meu Momo amava essa música 💔😢💓
91	Brendan Daly	what a band , amazing 🤙
92	Red Clover	Still remember hearing this in Better Call Saul (S4 I believe) such a great scene
93	Benjamin Smith	Can you imagine the pain going through Agnetha singing this. And how strong she was for doing it. It’s my favourite ever song.
94	sonya Russell	Love this song!
95	Slava Marmeladova	Прекрасно.Скромность ,элегантнтность и талант.
96	Ralph Madera	What a beautiful woman! So easy to love her ❤
97	George Kuenzli	One of Agnetha Fältskog's best songs.
98	rotory wankel	The Winner Takes It All Lyrics [Verse 1] I don't wanna talk About things we've gone through Though it's hurting me, now it's history I've played all my cards And that's what you've done, too Nothing more to say, no more ace to play [Chorus] The winner takes it all The loser's standing small Beside the victory That's her destiny [Verse 2] I was in your arms Thinking I belonged there I figured it made sense, building me a fence Building me a home Thinking I'd be strong there But I was a fool playing by the rules [Chorus] The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (Takes it all) The loser has to fall (Has to fall) It's simple and it's plain (It seems plain) Why should I complain? (Why complain) [Verse 3] But tell me, does she kiss Like I used to kiss you? Does it feel the same when she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed [Chorus] The judges will decide (They decide) The likes of me abide (We abide) Spectators of the show (Of the show) Always staying low (Staying low) The game is on again (On again) A lover or a friend (Or a friend) A big thing or a small (Big or small) The winner takes it all (Takes it all) [Verse 4] I don't wanna talk If it makes you feel sad And I understand, you've come to shake my hand I apologize If it makes you feel bad Seeing me so tense, no self-confidence [Bridge] But you see, the winner takes it all The winner takes it all [Outro] (So the winner) (Takes it all) (And the loser) (Has to fall) (Throw a dice) (Cold as ice) (Way down here) (Someone dear) (Takes it all) (Has to fall) (It seems plain) (Why complain)
99	Manuel Pita	Probablemente la mejor canción de amor/desamor jamas escrita.
100	Freddy Bee	Never gets old.
101	Aidan Arnott	This song unravels every thread of my sanity without fail
102	Volkan	That music touched my heart ❤️‍🩹
103	Jacqueline Mullan	The best written song by Abba the lyric and emotion behind the song is incredible.
104	Warrior Princess	I love ABBA ❤️
105	josef höllenbauer	My Love departed from me last September for another guy ... this song perfectly expresses what's going on in me. (This and Yesterday from the Beatles.) One is the winner and gets everything. The other one the loser, losing all.
106	Χρυσούλα  Μιχάλα	Classic and wonderful!
107	Vijay Nair	This song means a lot to Jimmy and Charles McGill.
108	Lydia Matthews	My absolute favorite ABBA song. It still makes you want to sing along.
109	Татьяна Панасенко	Песня на века !!!
110	Melinadyhr	Sveriges bästa sångerska ever ❤
111	Annissa Coggins	You can really see the pain in her eyes as she sings this song
112	GICHANG KIM	"ABBA가 영원하듯이 Agnetha의 ""The Winner takes it all""도 영원히 우리들 곁에 남아있어요. 가슴을 파고 드네요."
113	Kyle Fredericks	Thank you to Jimmy and Chuck McGill for reminding me that this incredible song exists
114	Eric Johnson	All I can say, this song BREAKS your heart. I'm so Sorry for the pain! God Bless You!!
115	Сергей Безлепкин	Agnetta is a sweet creature with a wonderful voice. ABBA is the best band of the 80s.
116	Armando Aldana	best most beautiful song ive ever heard !!
117	Kelly Barahona	amo a ABBA LOVE MUCICA BEYA♥️🥰
118	David Hope	Masterpiece for eternity.
119	spencer thoroughman	There's so much to be said This song says it all
120	Sophia Marquis	So Pure, beautiful and special. ❤️
121	junjun yongyong	Beautiful voice
122	Слава Ж	Beautiful!!!
123	Marlyn Franco1984	I cry almost everytime I sing this
124	Jeff Edwards	She is as beautiful as her voice!!
125	Sarah dynnesen😎😎😎	Love it
126	Viri Z	I dedicated this song to my husband🖤
127	christiane kuschel	Björn and Benny were „pushing“ the women to give their best (and beyond) in every recording. Especially in this record. Agnetha‘s voice is so crystal clear, so brilliant in every note. AND full of pain. A masterpiece.
128	Олег Дьячков	Агнета ,любимейшая моя до скончания дней моих ,волшебный голос
129	David	What is also noticeable with this song is that anyone who does a cover of it just cannot carry it off like Agnetha and Abba. Same with all their songs, really
130	TUHIRIRWE AGATHA	I cannot stop listening to this song😍😍😍😍😍😍😍😍
131	Валерия Гончарова	Победитель получает всë. Я не победителель.Я получила просто жизнь, просто любовь, просто память. И я рада, что ушла от суеты победитей. Рада, что ушла от тебя, любимого.
132	jean pierre bressler	Que dire?? C'est de l'ART...cette voix est exceptionnelle..la musique incroyable et les paroles on ne peut plus réalistes...le meilleur titre du répertoire d'Abba que personne ne pourra interpréter autre qu'Agnetha
133	John Paterson	Reminds me of the most beautiful girl and a wild affair, I miss and love her forever in my heart😢
134	Bastion	I want to go back to that time. When my brother and my parents were still together. I really miss them.. 😭😭😭 May Allah love and bless you
135	Андрей Кузнецов	Мой сочинённый текст на эту композицию Порой находит тьма и не хватает света Погасшая свеча - давно уж не горит Меркнет красота - не найти ответа Настал в твоей судьбе - сложный лабиринт Но верю я что свет - когда нибудь придёт Небесная звезда в душе моей взойдёт Верь своей звезде - верь своей надежде Верь своей мечте из последних сил Верь весна придёт - после вьюги снежной Этот бренный мир - снова расцветёт Не верь в красивость слов - они как мишура И в пафосность речей - это всё игра Не верь в тот яркий свет - без сердца и тепла И в страсть любви не верь - она обречена И не сотвори - ты себе кумира Сам свою верши - жизнь и судьбу Пусть придёт к тебе - озарение лира И зажгёт в тебе - духа высоту Не верь в красивость слов - они как мишура И в пафосность речей - это всё игра Не верь в тот яркий свет - без сердца и тепла И в страсть любви не верь - она обречена Брось на небо взгляд и дождись ответа Улови в себе - мироздания нить Ты создан не из тьмы - создан ты из света Ты пришёл в сей мир - что бы в нем светить Зажги в себе звезду —----— Зажги в себе звезду —-------------------
136	Rosario Celia Bertuchi Mas	Song of my life, so beautifull but sad..... wonderfull for me, from Málaga. Spain 💝
137	Markus Hasibeder	One of the greatest songs in pop history. It is a perfect song!
138	Марина Ветрова	Лучшая песня о любви на все времена!
139	Benedito Nascimento	Muita saudade
140	Sheyla Cortez	Essa música me faz lembrar o passado, eu era apaixonada por pelo meu amigo o nome dele era Zico.
141	Marielle Martin	Reminds me of someone I loved very much. He's been living in another city for 25 years. Still miss him.
142	Herr S	Goosebumps all over my body, what's Abba's secret, it can't just be the time or the 70s, Abba is timeless,and Agnetha was very young
143	Azing	2022 still loving n listening
144	кат раз	Все песни АВВА шедевры.
145	Alberto Villanueva Rojas	Que bella cxancion Agnetta,, te remontastes bien alto en los corazones de la gente
146	Игорь Гутый	Хорошее было время 70- 80е....
147	FJS Marchetaria & Projetos	Eu sempre fui e sou fã desse grupo maravilhoso..
148	Ryan Keating	Best group with the Beatles to ever grace this earth
149	Rosa Penna	Pura emozione ❤
150	Luciano Rafael	Amigo meu que faleceu amava abba
151	Maria Magana	I was 10 living an easy life growing up with my older sisters n brother and parents. R.I.p to my Mom, brother and now my Dad. ❤️ loving memories 💗
152	Gelb Cunha	Que música LINDA, atemporal, toca a alma!
153	Ian Kim	this used to be my favorite song in 2012
154	MrOppOrtunity	So much emotion.. U can feel what she is saying.. 😥😥
155	Sam Bee	Reminds me of a time when the world was less woke and made beautiful music
156	carlos vigo	Que temasoooooooooo...
157	Александр Байкер	Этот прекрасный,сильный голос слышали наверное во всей вселенной 🙏🤩
158	Mohamed Guerfel	when music was still alive
159	salvatore buffo	melodico suono!!!!💙💙💙
160	IAmJessicubX	ABBA was well before their time. Crazy. We need this revamped
161	Rick D	I was a fetus when this song came out and I remember how sad it made me feel.
162	Ario Arash	This song never gets old, and breaking up never ends.
163	Anna	🥀The winner takes it all🥀 Победитель получает все I don't wanna talkЯ не хочу говоритьAbout the things we've gone throughО том, что мы прошли.Though it's hurting meПусть это меня и ранит,Now it's historyНо это в прошлом.I've played all my cardsЯ сыграла все свои карты,And that's what you've done tooТы сыграл свои.Nothing more to sayНечего больше сказать.No more ace to playНет тузов для игры. The winner takes it allПобедитель получает все,The loser standing smallПроигравший остается с малым,Beside the victoryВ стороне от победы -That's her destinyЭто её судьба. I was in your armsЯ была в твоих руках,Thinking I belonged thereДумала, я принадлежу им,I figured it made senseПредставляла, что это имеет смысл.Building me a fenceСтроила себе ограду,Думала, что буду сильной в нем,But I was a foolНо я была глупа,Playing by the rulesИграя по правилам. The gods may throw a diceБоги могут кинуть кости -Their minds as cold as iceИх мысли холодны как лед -And someone way down hereА кто-то здесь внизуLoses someone dearПотеряет кого-то дорогого.The winner takes it allПобедитель получает все,The loser has to fallПроигравший должен упасть.It's simple and it's plainВсе просто и понятно,Why should I complain.На что мне жаловаться? But tell me does she kissНо скажи мне, разве она целуетLike I used to kiss you?Так, как я тебя целовала?Does it feel the sameЧувствуешь ли ты то же,When she calls your name?Когда она называет твое имяSomewhere deep insideГде-то в глубине душиYou must know I miss youТы должен знать - мне тебя не хватает,But what can I sayНо что я могу сказать -Rules must be obeyedНужно соблюдать правила. The judges will decideСудьи решат,The likes of me abideЧто такие, как я, должны смириться,Spectators of the showСторонние наблюдателиAlways staying lowВсегда отмалчиваются.The game is on againИ игра начинается по новой -A lover or a friendЛюбовник или друг?A big thing or a smallМного или мало?The winner takes it allПобедитель получает все. I don't wanna talkЯ не хочу говорить,If it makes you feel sadЕсли это тебя расстраивает,And I understandИ я понимаю -You've come to shake my handТы пришел пожать мою руку.I apologizeИзвини,If it makes you feel badЕсли ты расстраиваешься,Seeing me so tenseВидя меня такой напряженной,No self-confidenceТакой неуверенной...But you seeНо ты же видишь...The winner takes it allПобедитель получает все,The winner takes it all...Победитель получает все...😭
164	allan marinay	I'm 28 and finally i knew the title of this song.. when i was a child i always heard this song playing on the radio but i didnt know the title
165	Pasquale Sacco	Her ex husband wrote it how much pain was in to write such a song she sang her heart out
166	Владимир	Боже такая песня спасибо
167	Joseph De Lavergne	Absolutely gorgeous, beautiful voice.
168	Ashley Hall	Many have covered this song but no one has matched the original
169	Matthew Pilling	The best song ever made
170	1groovygreg	Painfully splendid.
171	Christopher Maer	I think this is the best song ABBA ever made so you think?
172	Italrish	Wow, she could really sing.
173	Steve Jackson	Best 'Pop' song ever.
174	K R	Wunderschöne Frau wunderschöne Musik bis heute ❤️
175	Shirl73	I was 7 when I heard it for the first time, I found it was a very beautiful melody but something sad at the same time in this, despite I didn't know any english word at that time
176	Ed Garzzi	ABBA has a very special place in my life,,
177	Abdelkader Boughalem	I don't wanna talk About things we've gone through Though it's hurting me Now it's history I've played all my cards And that's what you've done too Nothing more to say No more ace to play The winner takes it all The loser's standing small Beside the victory That's her destiny I was in your arms Thinking I belonged there I figured it made sense Building me a fence Building me a home Thinking I'd be strong there But I was a fool Playing by the rules The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (takes it all) The loser has to fall (has to fall) It's simple and it's plain (it's so plain) Why should I complain? (Why complain?) But tell me, does she kiss Like I used to kiss you? Does it feel the same When she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed The judges will decide (will decide) The likes of me abide (me abide) Spectators of the show (of the show) Always staying low (staying low) The game is on again (on again) A lover or a friend (or a friend) A big thing or a small (big or small) The winner takes it all (takes it all) I don't wanna talk If it makes you feel sad And I understand You've come to shake my hand I apologize If it makes you feel bad Seeing me so tense No self-confidence But you see The winner takes it all The winner takes it all So the winner takes it all And the loser has to fall Throw the dice, cold as ice Way down here, someone dear Takes it all, has to fall And it's plain, why complain?
178	Mo Salem	Just wondering, what the song writer been through to get inspired to write this song ???? So emotional so powerful
179	Y S	Outstanding.
180	x101st	I was 12 when this came out, and I was saddened because it was the end of an era, a decade, and a great band. Anybody that doesn't like ABBA is not human IMO. Agnetha is a doll, singing out her heartbreak for all to hear. God bless you honey!!!
181	ID047889	Thegood old 80s When a singer was famous about his/her voice and songs Not about his/her looks, private life issues, tweets, insta pictures…
182	MUHARREM SEKMEN	ZAMAN BÖLÜNMEZ SONSUZ SÜREÇ. ZAMAN TAM TARİF BÖYLE. BAŞKA TARİF EDİLEMEZ.
183	d mary	Prekrasna Agneta....prekrasna pjesma ❤
184	Cheryl Star	Here after hearing this song nailed on The Voice!
185	Baron Brookheim	A musical and voice masterpiece
186	Fabio Lemmi	Beautiful
187	Stalevar	"the line - ""tell me, does she kiss, like I used to kiss you?""... sang so naturally. she really asks i she is better then her. Amazing!"
188	Andrea Cunha	I love this music!!!
189	Evelyne GROLLEAU	J'adore 🌹🌹🌹
190	Kundalini Résistance	I don't wanna talk About things we've gone through Though it's hurting me Now it's history I've played all my cards And that's what you've done too Nothing more to say No more ace to play The winner takes it all The loser's standing small Beside the victory That's her destiny I was in your arms Thinking I belonged there I figured it made sense Building me a fence Building me a home Thinking I'd be strong there But I was a fool Playing by the rules The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (takes it all) The loser has to fall (has to fall) It's simple and it's plain (it's so plain) Why should I complain? (Why complain?) But tell me, does she kiss Like I used to kiss you? Does it feel the same When she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed The judges will decide (will decide) The likes of me abide (me abide) Spectators of the show (of the show) Always staying low (staying low) The game is on again (on again) A lover or a friend (or a friend) A big thing or a small (big or small) The winner takes it all (takes it all) I don't wanna talk If it makes you feel sad And I understand You've come to shake my hand I apologize If it makes you feel bad Seeing me so tense No self-confidence But you see The winner takes it all The winner takes it all So the winner takes
191	MUHARREM SEKMEN	GERÇEK AYNI SESLERLE SESLENDİRİLDİĞİNDE HATALI ANLAYIŞ OLMAZ. BU EVRENSEL DİLDİR.
192	marko suutari	The song u have to hear!
193	Jubay Soriano	I missed you abba..
194	JustEthical	b&b were pure musical genius / producers
195	John Legend	What a Great voice What a great composition What an amazing arrangement Sooo many great memories R coming back.
196	maz I	This song always makes me cry xxx
197	Tanita As	Единственная кто спела также это Роза Рымбаева first love первая любовь..
198	СвЕтослав СвЕтлый	Голос конешно моща!!!
199	Baronstone	My goodness, I had such a crush on her back then!
200	Nal Almeida	Canção linda do Abba, eu amo demais♥️♥️
201	MUHARREM SEKMEN	ZAMANSIZLIK TARİF EDİLEMİYOR..
202	Esra Özçelik	I don't wanna talk About things we've gone through Though it's hurting me Now it's history I've played all my cards And that's what you've done too Nothing more to say No more ace to play The winner takes it all The loser's standing small Beside the victory That's her destiny I was in your arms Thinking I belonged there I figured it made sense Building me a fence Building me a home Thinking I'd be strong there But I was a fool Playing by the rules The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (takes it all) The loser has to fall (has to fall) It's simple and it's plain (it's so plain) Why should I complain? (Why complain?) But tell me, does she kiss Like I used to kiss you? Does it feel the same When she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed The judges will decide (will decide) The likes of me abide (me abide) Spectators of the show (of the show) Always staying low (staying low) The game is on again (on again) A lover or a friend (or a friend) A big thing or a small (big or small) The winner takes it all (takes it all) I don't wanna talk If it makes you feel sad And I understand You've come to shake my hand I apologize If it makes you feel bad Seeing me so tense No self-confidence But you see The winner takes it all The winner takes it all So the winner takes it all And the loser has to fall Throw the dice, cold as ice Way down here, someone dear Takes it all, has to fall And it's plain, why complain?
203	MUHARREM SEKMEN	GERÇEKTE HERŞEY DOĞAL VARDIR.
204	MUHARREM SEKMEN	YAŞAMDA SADECE İHTİMAL VARDIR. DÜŞÜNCE İHTİMALDİR.
205	MUHARREM SEKMEN	GERÇEK NE SADECE BİR SES. HERHANGİ BİR SES. BÜTÜN HER SES DEĞİL.
206	Jacqueline Bryan	The best song 🎵 of conceding to love..😥 but its my favorite
207	MUHARREM SEKMEN	ZAMAN KELİMESİ SADECE BELLİ BİR BAĞLAMDA SESTEN İBARET.
208	MUHARREM SEKMEN	SÜREKLİLİK DEĞİŞEN BİR ALGI.
209	Жанна Симакина	Волшебные голоса,красивая музыка.вы супер.
210	MUHARREM SEKMEN	GERÇEK YAŞAMDA HER ALANDA HAKLILIK VARDIR.
211	Nick Turner	Absolutely gorgeous when women were beautiful no tattoos no blue hair and no beer belly
212	MUHARREM SEKMEN	ZAMAN BÜYÜDÜR. BÜYÜ MUCİYE YAKINDIR.
