	author	comment
94	Anna	🥀The winner takes it all🥀 Победитель получает все I don't wanna talkЯ не хочу говоритьAbout the things we've gone throughО том, что мы прошли.Though it's hurting meПусть это меня и ранит,Now it's historyНо это в прошлом.I've played all my cardsЯ сыграла все свои карты,And that's what you've done tooТы сыграл свои.Nothing more to sayНечего больше сказать.No more ace to playНет тузов для игры. The winner takes it allПобедитель получает все,The loser standing smallПроигравший остается с малым,Beside the victoryВ стороне от победы -That's her destinyЭто её судьба. I was in your armsЯ была в твоих руках,Thinking I belonged thereДумала, я принадлежу им,I figured it made senseПредставляла, что это имеет смысл.Building me a fenceСтроила себе ограду,Думала, что буду сильной в нем,But I was a foolНо я была глупа,Playing by the rulesИграя по правилам. The gods may throw a diceБоги могут кинуть кости -Their minds as cold as iceИх мысли холодны как лед -And someone way down hereА кто-то здесь внизуLoses someone dearПотеряет кого-то дорогого.The winner takes it allПобедитель получает все,The loser has to fallПроигравший должен упасть.It's simple and it's plainВсе просто и понятно,Why should I complain.На что мне жаловаться? But tell me does she kissНо скажи мне, разве она целуетLike I used to kiss you?Так, как я тебя целовала?Does it feel the sameЧувствуешь ли ты то же,When she calls your name?Когда она называет твое имяSomewhere deep insideГде-то в глубине душиYou must know I miss youТы должен знать - мне тебя не хватает,But what can I sayНо что я могу сказать -Rules must be obeyedНужно соблюдать правила. The judges will decideСудьи решат,The likes of me abideЧто такие, как я, должны смириться,Spectators of the showСторонние наблюдателиAlways staying lowВсегда отмалчиваются.The game is on againИ игра начинается по новой -A lover or a friendЛюбовник или друг?A big thing or a smallМного или мало?The winner takes it allПобедитель получает все. I don't wanna talkЯ не хочу говорить,If it makes you feel sadЕсли это тебя расстраивает,And I understandИ я понимаю -You've come to shake my handТы пришел пожать мою руку.I apologizeИзвини,If it makes you feel badЕсли ты расстраиваешься,Seeing me so tenseВидя меня такой напряженной,No self-confidenceТакой неуверенной...But you seeНо ты же видишь...The winner takes it allПобедитель получает все,The winner takes it all...Победитель получает все...😭
95	Maria Duarte	Joelma do Calypso kk
96	TUHIRIRWE AGATHA	I cannot stop listening to this song😍😍😍😍😍😍😍😍
97	Jeff Edwards	She is as beautiful as her voice!!
98	captain howdy	I spawned 2 years after this trainwreck of a music song
99	Fuad Alizada	Come back and say that you love me.🎠
100	Susan Boyle	Yes but did you see the film see had just given birth so horrible this woman had to go through this tragic
101	Sylvain Gomez	Amazing song, amazing singer !
102	Gracie Star	There is a real sadness in her eyes. She is still breathtaking beautiful
103	Aleksandar	Predivno... 💔
104	Bouhouche Khaled	With out comment
105	Joseph Gilligan	I grew up with wonderful music. I was 12 in 1980. Just superb song.
106	Tanita As	Единственная кто спела также это Роза Рымбаева first love первая любовь..
107	Michael	❤🙂
108	Devon Medway	@2:51 is the moment!
109	Alexandr Věchtík	Best song from the Abba. I love this song forever.
110	Denise Kemp	2022, and this song still hits hard!🔥🔥🔥
111	finky	Pour répondre à votre question ? Si DIEU ? Joue aux 🎲 🎲 ? Je crois que toutes les combinaisons sont déjà faites ? Puisque, nous jouons ? Puisse-vous trouverez les réponses ? . ( 03-01-2023 à 04h54 )( en version féminin et masculin, garçon et fille, monsieur et madame, mari et concubine... bref) , .
112	Ana Maria Cuperio	🎉génial
113	Rosemeri De Almeida	Música linda 😍 despierta sentimientos y amores... eterno amor y sucesso 👏❤️
114	leo270480	scrivete in ITALIANO CHE NUN VE CAPIMO...COMUNQUE GRANDE CANZONE
115	Mohamed Zebroud	You win today , you may lose tomorrow . Don’t forget this
116	Александр Потетинов	не знаю этот язык,набираю по заглавным, Ютуб отзывается,. Благодарность что эти песни сохранили.!!!!!!!!!
117	Agunk Art	Lagu ini sangad dalam, walaupun gk tau artinya wkwkw
118	Junior Rodrigues	Essa passada de língua que ela da nos lábios tira qualquer um de sério
119	Aidan Arnott	This song unravels every thread of my sanity without fail
120	David	What is also noticeable with this song is that anyone who does a cover of it just cannot carry it off like Agnetha and Abba. Same with all their songs, really
121	Χρυσούλα  Μιχάλα	Classic and wonderful!
122	Eduardo Aguiar	❤
123	Альбина Тамаева	Лучшая песня всех времён и народов👌
124	L D hirantha2001	Everlasting performance ABBA❤️
125	Sonja	Allasvåran abba🫠💗💕💗💐🌹💐🌹💐
126	Katherine Leroux	Je crois que cette chanson devrais être près de la fin du disque....car je connais pas dans ma mémoire d'avoir attendu dans mon lit ((âgé de 5 ans) votre album GOLD je le connais grâce a mes parents. 😊j'ai 48ans je vous adore
127	pogranesz	Класс!!!
128	Jeni	CRIMINALI DROGATI SONI FALSI LADRI PAPONI 💚💚💚💚💚💚💚💚💯💯💯
129	Елена Рабданова	Шикарно;!! ;;
130	GICHANG KIM	"ABBA가 영원하듯이 Agnetha의 ""The Winner takes it all""도 영원히 우리들 곁에 남아있어요. 가슴을 파고 드네요."
131	Holger Schmidt	Oh Goose bumps Don't know why! At first. New hearing 🤔
132	Владимир Владимиров	🇷🇺❤️🎼
133	Mal	The last seconds of the song I’m like : 😭😭
134	Maurice Toboul	Que de bon souvenirs sur cette chanson. Toute ma jeunesse sur ce groupe. merci vous resterez immortelle.
135	spencer thoroughman	There's so much to be said This song says it all
136	ANA paula	❤️❤️❤️❤️❤️😘😘😘🤗❤️❤️❤️❤️🙏🙏🙏🙏🌹🌹😘😘
137	Christopher Maer	I think this is the best song ABBA ever made so you think?
138	Игорь Гутый	Хорошее было время 70- 80е....
139	Jaime Eduardo Vivar Arevalo	Esta canción toca fibras tan internas que los recuerdos quedan la plena luego de una ruptura tan dolorosa cuesta recuperarse y mucho allí los sueños las aspiraciones todo lo que un día querías brindar todo esa vida que querias vivir con quien fue tu amor se va a la basura mas duele cuando quien te lo hace es quien menos pensarias inculso me entere por otros medios de muchas cosas ni siquiera ella me dijo no pedí explicaciones solo me fui tratando de entender por qué pasó ella de todos modos no te daría razones como dice ese verso el ganador se lo lleva todo no solo el hombre que hoy es su esposo se ganó el derecho de tenerla a su lado sino de convertirla en mamá ya con eso que puedo reclamar a la vez tener hijos eso no le reprocho sino el que no me haya sido sincera conmigo si lo hubiera sido de seguro hubiera cambiado de parecer pero no lo hizo eso jamás se lo perdone pero me tomo como un tonto ya con eso el tipo podría decir que fue el ganador que se la llevó y que el perdedor solo debe retirarse sin responder ni hablar y te das cuenta que ya no es tu lugar que solo estás de sobra pensé en Vergarme darle ese golpe como ella me dio pero no lo hice al contrario le di un regalo de bodas s la distancia y eso me gustó fue mi respuesta la muestra que a pesar de lo que lo que me había hecho le brinde el regalo de matrimonio a distancia de entregarle a quien se la ganó en matrimonio y dejarla ser libre y dejarla ser feliz podrá sonar algo tonto pero vi que no valía la pena caer tan bajo con una venganza cuesta superar que alguien que amaste que hoy la miras y te das cuenta que ya no es para ti tener otro amor quizá cuesta pero es nesesario esta canción toca una fibra tan profunda más claro el que da en el clavo es el ganador y quien pierde solo debe retirarse no reclamar ni hablar sólo recoger los pedazos de tu corazón y reconstituir todo tu mismo esa parte que quedó mal por que el estar roto no te da derecho a dañarle la vida a nadie ni siquiera a quien te hizo lo peor esta canción es clara en el amor el ganador se lo lleva todo que otro significado hay para eso
140	Shirl73	I was 7 when I heard it for the first time, I found it was a very beautiful melody but something sad at the same time in this, despite I didn't know any english word at that time
141	Gustavo Espósito	Não tem coisa melhor que anos 70 80 90. Quem nasceu de 2000 pra cá não sabe o que é música muito menos cantor. Abba por exemplo é uma das melhores coisas que eu já ouvi na minha vida. Uma música melhor que a outra . Essa música por exemplo da pra perceber emoção na hora de cantar a música é lindíssima a voz dela é lindíssima
142	Roger Gongora	For me she is the most beautiful woman in the world .
143	stej enli	пройдемо зиму, що два пальця..
144	rosemary montojo	Its our behaviors immorality reputation dignity to giving fully respect to the others and all kings, even they treated us a jerk or not their tribes, thats the rules law of GOD, 🙏🙏🙏🤲🤲🤲
145	Mauro Arrighini	stupenda lei e la canzone
146	Vuk Stevovic	This song always makes me cry, because my parents divorced it was so stressful for me, my mother and my sister, but we continue to live and that is the magic of life. Be good at something, don't want so much from life and enjoy. This song always lifts me up. Although it is so sad.
147	Nurul Tea	@Sunlight
148	Carlos Santos	Pedro Fernández lo cantó en Versión Español
149	Eddy Moitout	Ça a du être très dur de chanter cette chanson pour Agnetha
150	stej enli	!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
151	Абидат Абакарова	Божечки какой голос🥰 эмоции зашкаливают🥰🥰🥰❤❤❤❤
152	BarryChello	as a true metal head i must say that i love this song
153	Sylvia paetz	ich höre den Song gerne
154	5T3FF13 SRAD	Gorgeous woman she is
155	AVL	Как же прекрасна и гениальна эта песня, произведение искусства! На мой взгляд лучшая песня за всю историю человечества... такие эмоции вызывает, такое благородство, никакого секса..
156	Egiz Osmanova	"Почему трек называется ""Победитель забирает все?"" Я не знаю английского, хочу точный перевод текста песни..кто знает?"
157	Alna Ale	Мне здаецца, што для ўсяго света гэта песня назаўсёды застанецца неперасягненым гімнам страчанага кахання, роспачы страты. АВВА маглі размаўляць з намі з самай глыбіні душы, так шчыра і пранікнёна, што іх пасыл уваходзіў у нашы сэрцы, каб застацца там навечна. Дзякуй за Музыку, АВВА
158	Khais Hall	You poor souls 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥here
159	Parv	If you are not doing anything in your life and want to achieve this song will motivate to work not let any opportunities miss Keep working on day you will your desires
160	Patrick Freber	Ich liebeeeeee diiiiiiich
161	Titi Titi	Très bel chanson
162	Валерий Марецкий	Агнета - ты СУПЕР!!!
163	Cheryl Star	Here after hearing this song nailed on The Voice!
164	Тамара Максимова	Мы сейчас не можем и представить себя в 80-е без этой сверхпопулярной группы,без их легендарных песен,без неземной красоты Агнетты и ее фантастического голоса!...
165	sean south	Agnetha best looking women ever xxx
166	Joarce Fedorowicz	This is the best song of all times. I just love it.
167	pascal lindemann	je ne veux pas parler I don't wanna talk À propos des choses que nous avons traversées About things we've gone through Même si ça me fait mal Though it's hurting me Maintenant c'est de l'histoire Now it's history J'ai joué toutes mes cartes I've played all my cards Et c'est ce que tu as fait aussi And that's what you've done too Rien d'autre à dire Nothing more to say Plus d'as à jouer No more ace to play Le gagnant remporte tout The winner takes it all Le perdant est petit The loser's standing small A côté de la victoire Beside the victory C'est son destin That's her destiny j'étais dans tes bras I was in your arms Pensant que j'appartenais là Thinking I belonged there J'ai pensé que c'était logique I figured it made sense Me construisant une clôture Building me a fence Me construisant une maison Building me a home Pensant que je serais fort là-bas Thinking I'd be strong there Mais j'étais un imbécile But I was a fool Jouer selon les règles Playing by the rules Les dieux peuvent lancer un dé The gods may throw a dice Leurs esprits aussi froids que la glace Their minds as cold as ice Et quelqu'un ici bas And someone way down here Perd quelqu'un de cher Loses someone dear Le gagnant prend tout (prend tout) The winner takes it all (takes it all) Le perdant doit tomber (doit tomber) The loser has to fall (has to fall) C'est simple et c'est clair (c'est tellement clair) It's simple and it's plain (it's so plain) Pourquoi devrais-je me plaindre ? Why should I complain? (Pourquoi se plaindre ?) (Why complain?) Mais dis-moi, est-ce qu'elle embrasse But tell me, does she kiss Comme si je t'embrassais ? Like I used to kiss you? Est-ce la même chose Does it feel the same Quand elle appelle ton nom ? When she calls your name? Quelque part au fond de moi Somewhere deep inside Tu dois savoir que tu me manques You must know I miss you Mais que puis-je dire ? But what can I say? Les règles doivent être respectées Rules must be obeyed Les juges décideront (décideront) The judges will decide (will decide) Les goûts de moi demeurent (moi demeurent) The likes of me abide (me abide) Spectateurs du spectacle (du spectacle) Spectators of the show (of the show) Toujours rester bas (rester bas) Always staying low (staying low) Le jeu est recommencé (recommencé) The game is on again (on again) Un amant ou un ami (ou un ami) A lover or a friend (or a friend) Une grande chose ou une petite (grande ou petite) A big thing or a small (big or small) Le gagnant prend tout (prend tout) The winner takes it all (takes it all) je ne veux pas parler I don't wanna talk Si ça te rend triste If it makes you feel sad Et je comprends And I understand Tu es venu me serrer la main You've come to shake my hand Je m'excuse I apologize Si ça te fait mal If it makes you feel bad Me voyant si tendu Seeing me so tense Pas de confiance en soi No self-confidence Mais tu vois But you see Le gagnant remporte tout The winner takes it all Le gagnant remporte tout The winner takes it all Alors le gagnant prend tout So the winner takes it all Et le perdant doit tomber And the loser has to fall Jette les dés, froid comme la glace Throw the dice, cold as ice En bas ici, quelqu'un de cher Way down here, someone dear Prend tout, doit tomber Takes it all, has to fall Et c'est clair, pourquoi se plaindre ? And it's plain, why complain?
168	Kaymanth	Dankeschön an euch 4 besonders 2 gefielen mir ! 😊❤️
169	Melinadyhr	Sveriges bästa sångerska ever ❤
170	Tony J Lorns	How she seductively lick her lips was for all the fawning male admirers she had
171	Jose marcos barcelos	Essa loira é linda sou apaixonado por ela!!
172	Дарья Вавилова	Non curo ut regina in UK, sumo eam et filii rogant, adiuvisti tot annos.
173	LUIGI SACCOMANDI	Who is she? Where's Chuck?!
174	Enrique Garrido suarez	amo essa musica
175	Paolo DM	il canto del cigno 🦢
176	perfectsims	~~~~~~~On the JOB Ladies..no worries
177	Jubay Soriano	I missed you abba..
178	Zayed Zayed	Forever that is truth lyrics I will be winner 🏆 even I lose before Ace of god card will come to me of the betrayal of All 🎼🦅🌳🍀✈️zied Amami Carthage
179	Benedito Nascimento	Muita saudade
180	Paolo Rodriguez	Tempos maravilhosos que não voltam mais,saudade !
181	кат раз	Все песни АВВА шедевры.
182	Am Columbo	i really love abba, and i am always listening to this masterpeice group
183	해피의일상	🇸🇪 ❤️
184	Jennifer Okazaki	Undergrad, medical school, residency.......And, just turned 40, on verge of retiring. And, still watching this vid. Enjoyed it -Thx Youtube.
185	Kelly Barahona	amo a ABBA LOVE MUCICA BEYA♥️🥰
186	Осипов Юрий	Лицемерные твари эти певцы: поют такую печальную историю и лыбятся.
187	Ralph Madera	What a beautiful woman! So easy to love her ❤
188	Nadia	Simply amazing!❤
189	Lyubov Kharchenko	АВВА Это слиток золота который никогда не гаснет
190	Lyubov Kharchenko	Песни и музыка об не имеют равных в мире, их слушать можно вечно, они поднимают настроение якобы вырастают какие-то невидимые крылья несущие тебя ввысь вот что люди чувствуют когда слушают их музыку Бог сохрани их пожалуйста
191	1groovygreg	Painfully splendid.
192	Antonio Prof	wow
193	TinaNathan Infinity	Winner takes it all.....
194	Abel Cecilia	Quero ver alguém lembrar de Ludmila daqui a 10 ou 20 anos.... Kkkkkkkk
195	Abel Cecilia	Música eterna....
196	عرس RG estA  ربشحتعصوالسوهصمن	Naçoes juíza americana viva. رجب CPF CPF CPF
197	عرس RG estA  ربشحتعصوالسوهصمن	وصف صحقمثفتnet work
198	عرس RG estA  ربشحتعصوالسوهصمن	فثشزحيقوجقثcuidado com seus trabalho aqui no Brasil roubo nois vídeos. Juíza foi iؤتعفثسؤبيؤءخحهجشقخظ
199	عرس RG estA  ربشحتعصوالسوهصمن	فثشبخقح
200	Felix Felix	Uma das melhores músicas já feitas.
201	stej enli	Респект ШВЕДАМ.
202	stej enli	СЛАВА ГЕРОЯМ !!!!!!!
203	stej enli	!!!! А тепер - УКРАЇНСЬКА ЗИМА!!!!! Слава Україні !!!!!!
204	Lionheart Mind Explosion	wish i could rewind time to these days but then i realise i wouldn't even exist
205	Maria Corsino	She Sung's beautifully,but it was Bjorn feelings at that time,he wrote the song !
206	Виктор Абакумов	ЭТО РЕБЯТА ШЕДЕВР НА МНОГИЕ ЛЕТА. Я КОГДА УСЛЫШАЛ У МЕНЯ ПРОСТО ТЕКЛИ СЛЕЗЫ Я ДОСИХ ПОР ВОСХИЩАЮСЬ ГРЕТОЙ. БРАВО.... СУПЕР.... НО.,...ЕСТЬ МАЛЕНЬКОЕ НО ЭТО НАША РОЗА РЫМБАЕВА ТОЖЕ СЛОВА ГОЛОС ПИПЕЦ МНЕ 56 А СЛЕЗЫ ТАК И ТЕКУТ. КАК И В 80- ГОДА
207	sonya Russell	Love this song!
208	Krzysztof Wawrocki	piękna i mądra
209	K R	Wunderschöne Frau wunderschöne Musik bis heute ❤️
210	Слава Ж	Beautiful!!!
211	macio	HA
212	IAmJessicubX	ABBA was well before their time. Crazy. We need this revamped
213	Kannan Adiseshachalam	Eternal masterpiece
214	Ian Kim	this used to be my favorite song in 2012
215	John Paterson	Reminds me of the most beautiful girl and a wild affair, I miss and love her forever in my heart😢
216	Gavin Anderson	It's All Good Man
217	Videoteca D'Angelista	Thanx Jimmy
218	Lucas Miranda	A linha tem Cerol vai lavar seu c....
219	Allan Lincoln	1:42 Já lavei👍🏻
220	Joacy Miranda	em 1:42, em português, soa como se estivesse mandando fazer asseio. kkkk
221	Patrick Freber	Ich liebe dich
222	Jude Reyes	Absolutely very 🎉❤marvelous amazing 🤩 majestic enchanting exhilarating exciting and exceptional musical 🎤 performance of the best ever group singing spectacular sensational song 🎵 to stimulate my everlasting LOVING memories to continue Loving 🥰 wonderful woman 👩 JENNIFER of which I LOVE ❤️ so much indeed my everlasting loving 🥰 wonderful women
223	Anderson 77	LULA PRESIDENTE. BOZO PINTO MURCHO E DERROTADO.
224	Deal,Deal.	Brilliant!!!goose bumps!!!
225	Валерия Гончарова	Победитель получает всë. Я не победителель.Я получила просто жизнь, просто любовь, просто память. И я рада, что ушла от суеты победитей. Рада, что ушла от тебя, любимого.
226	Tien Duong	Somewhere in the universe, there is a plannet, and there are some creatures of god!
227	marko suutari	The song u have to hear!
228	Pasquale Sacco	Her ex husband wrote it how much pain was in to write such a song she sang her heart out
229	Марина Юрьевна	ВМЕСТЕ ЖИЗНЬ СЕЙЧАС.
230	ID047889	Thegood old 80s When a singer was famous about his/her voice and songs Not about his/her looks, private life issues, tweets, insta pictures…
231	Ryan Keating	Best group with the Beatles to ever grace this earth
232	Charliecomet82	S'all good, man.
233	Usuario975 66	"Aos 1:42 dá impressão que ela tá mandando ""cuidar da higiene"" 😆🤣"
234	mona35ful	Piosenka kościelna Panie proszę przyjdź,jest z tą melodią,piękne ❤️🥰
235	Brendan Daly	what a band , amazing 🤙
236	Eric Johnson	All I can say, this song BREAKS your heart. I'm so Sorry for the pain! God Bless You!!
237	Esra Özçelik	I don't wanna talk About things we've gone through Though it's hurting me Now it's history I've played all my cards And that's what you've done too Nothing more to say No more ace to play The winner takes it all The loser's standing small Beside the victory That's her destiny I was in your arms Thinking I belonged there I figured it made sense Building me a fence Building me a home Thinking I'd be strong there But I was a fool Playing by the rules The gods may throw a dice Their minds as cold as ice And someone way down here Loses someone dear The winner takes it all (takes it all) The loser has to fall (has to fall) It's simple and it's plain (it's so plain) Why should I complain? (Why complain?) But tell me, does she kiss Like I used to kiss you? Does it feel the same When she calls your name? Somewhere deep inside You must know I miss you But what can I say? Rules must be obeyed The judges will decide (will decide) The likes of me abide (me abide) Spectators of the show (of the show) Always staying low (staying low) The game is on again (on again) A lover or a friend (or a friend) A big thing or a small (big or small) The winner takes it all (takes it all) I don't wanna talk If it makes you feel sad And I understand You've come to shake my hand I apologize If it makes you feel bad Seeing me so tense No self-confidence But you see The winner takes it all The winner takes it all So the winner takes it all And the loser has to fall Throw the dice, cold as ice Way down here, someone dear Takes it all, has to fall And it's plain, why complain?
